,id,crystal_system,point_group
6101,mp-1096233,orthorhombic,mmm
6102,mp-1096234,orthorhombic,mmm
6103,mp-1096235,orthorhombic,mmm
6104,mp-1096236,orthorhombic,mmm
6105,mp-1096237,orthorhombic,mmm
6106,mp-1096238,orthorhombic,mmm
6107,mp-1096239,orthorhombic,mmm
6108,mp-1096240,,
6109,mp-1096241,,
6110,mp-1096242,orthorhombic,mmm
6111,mp-1096243,orthorhombic,mmm
6112,mp-1096244,orthorhombic,mmm
6113,mp-1096245,orthorhombic,mmm
6114,mp-1096246,tetragonal,4/mmm
6115,mp-1096248,orthorhombic,mmm
6116,mp-1096249,orthorhombic,mmm
6117,mp-1096250,orthorhombic,mmm
6118,mp-1096251,orthorhombic,mmm
6119,mp-1096252,orthorhombic,mmm
6120,mp-1096253,orthorhombic,mmm
6121,mp-1096254,orthorhombic,mmm
6122,mp-1096255,orthorhombic,mmm
6123,mp-1096256,orthorhombic,mmm
6124,mp-1096257,orthorhombic,mmm
6125,mp-1096258,orthorhombic,mmm
6126,mp-1096259,orthorhombic,mmm
6127,mp-1096260,orthorhombic,mmm
6128,mp-1096261,orthorhombic,mmm
6129,mp-1096262,orthorhombic,mmm
6130,mp-1096263,orthorhombic,mmm
6131,mp-1096264,orthorhombic,mmm
6132,mp-1096265,orthorhombic,mmm
6133,mp-1096266,orthorhombic,mmm
6134,mp-1096267,orthorhombic,mmm
6135,mp-1096268,orthorhombic,mmm
6136,mp-1096269,orthorhombic,mmm
6137,mp-1096270,orthorhombic,mmm
6138,mp-1096271,orthorhombic,mmm
6139,mp-1096272,orthorhombic,mmm
6140,mp-1096273,orthorhombic,mmm
6141,mp-1096274,orthorhombic,mmm
6142,mp-1096275,orthorhombic,mmm
6143,mp-1096276,orthorhombic,mmm
6144,mp-1096277,orthorhombic,mmm
6145,mp-1096278,orthorhombic,mmm
6146,mp-1096279,orthorhombic,mmm
6147,mp-1096280,orthorhombic,mmm
6148,mp-1096281,orthorhombic,mmm
6149,mp-1096282,orthorhombic,mmm
6150,mp-1096283,orthorhombic,mmm
6151,mp-1096284,orthorhombic,mmm
6152,mp-1096285,orthorhombic,mmm
6153,mp-1096286,orthorhombic,mmm
6154,mp-1096287,orthorhombic,mmm
6155,mp-1096288,orthorhombic,mmm
6156,mp-1096289,orthorhombic,mmm
6157,mp-1096290,orthorhombic,mmm
6158,mp-1096291,orthorhombic,mmm
6159,mp-1096292,orthorhombic,mmm
6160,mp-1096293,orthorhombic,mmm
6161,mp-1096294,orthorhombic,mmm
6162,mp-1096295,orthorhombic,mmm
6163,mp-1096296,orthorhombic,mmm
6164,mp-1096297,orthorhombic,mmm
6165,mp-1096298,orthorhombic,mmm
6166,mp-1096299,orthorhombic,mmm
6167,mp-1096300,orthorhombic,mmm
6168,mp-1096301,orthorhombic,mmm
6169,mp-1096302,orthorhombic,mmm
6170,mp-1096303,orthorhombic,mmm
6171,mp-1096304,orthorhombic,mmm
6172,mp-1096305,orthorhombic,mmm
6173,mp-1096306,orthorhombic,mmm
6174,mp-1096307,orthorhombic,mmm
6175,mp-1096308,orthorhombic,mmm
6176,mp-1096309,orthorhombic,mmm
6177,mp-1096310,orthorhombic,mmm
6178,mp-1096311,orthorhombic,mmm
6179,mp-1096312,tetragonal,4/mmm
6180,mp-1096313,orthorhombic,mmm
6181,mp-1096314,orthorhombic,mmm
6182,mp-1096315,orthorhombic,mmm
6183,mp-1096316,monoclinic,2/m
6184,mp-1096317,orthorhombic,mmm
6185,mp-1096318,orthorhombic,mmm
6186,mp-1096319,orthorhombic,mmm
6187,mp-1096320,orthorhombic,mmm
6188,mp-1096321,orthorhombic,mmm
6189,mp-1096322,orthorhombic,mmm
6190,mp-1096323,orthorhombic,mmm
6191,mp-1096324,orthorhombic,mmm
6192,mp-1096325,orthorhombic,mmm
6193,mp-1096326,orthorhombic,mmm
6194,mp-1096327,orthorhombic,mmm
6195,mp-1096328,orthorhombic,mmm
6196,mp-1096329,orthorhombic,mmm
6197,mp-1096330,orthorhombic,mmm
6198,mp-1096331,orthorhombic,mmm
6199,mp-1096332,orthorhombic,mmm
6200,mp-1096333,orthorhombic,mmm
6201,mp-1096334,orthorhombic,mmm
6202,mp-1096335,orthorhombic,mmm
6203,mp-1096336,orthorhombic,mmm
6204,mp-1096337,orthorhombic,mmm
6205,mp-1096338,orthorhombic,mmm
6206,mp-1096339,orthorhombic,mmm
6207,mp-1096340,orthorhombic,mmm
6208,mp-1096341,orthorhombic,mmm
6209,mp-1096342,orthorhombic,mmm
6210,mp-1096343,orthorhombic,mmm
6211,mp-1096344,orthorhombic,mmm
6212,mp-1096345,orthorhombic,mmm
6213,mp-1096346,orthorhombic,mmm
6214,mp-1096347,orthorhombic,mmm
6215,mp-1096348,orthorhombic,mmm
6216,mp-1096349,orthorhombic,mmm
6217,mp-1096350,orthorhombic,mmm
6218,mp-1096351,orthorhombic,mmm
6219,mp-1096352,orthorhombic,mmm
6220,mp-1096353,orthorhombic,mmm
6221,mp-1096354,orthorhombic,mmm
6222,mp-1096355,orthorhombic,mmm
6223,mp-1096356,orthorhombic,mmm
6224,mp-1096357,orthorhombic,mmm
6225,mp-1096358,orthorhombic,mmm
6226,mp-1096359,orthorhombic,mmm
6227,mp-1096360,orthorhombic,mmm
6228,mp-1096361,orthorhombic,mmm
6229,mp-1096362,orthorhombic,mmm
6230,mp-1096363,,
6231,mp-1096364,,
6232,mp-1096365,orthorhombic,mmm
6233,mp-1096366,orthorhombic,mmm
6234,mp-1096367,orthorhombic,mmm
6235,mp-1096368,orthorhombic,mmm
6236,mp-1096369,orthorhombic,mmm
6237,mp-1096370,orthorhombic,mmm
6238,mp-1096371,orthorhombic,mmm
6239,mp-1096372,orthorhombic,mmm
6240,mp-1096373,orthorhombic,mmm
6241,mp-1096374,orthorhombic,mmm
6242,mp-1096375,orthorhombic,mmm
6243,mp-1096376,orthorhombic,mmm
6244,mp-1096377,orthorhombic,mmm
6245,mp-1096378,orthorhombic,mmm
6246,mp-1096379,orthorhombic,mmm
6247,mp-1096380,orthorhombic,mmm
6248,mp-1096381,orthorhombic,mmm
6249,mp-1096382,orthorhombic,mmm
6250,mp-1096383,orthorhombic,mmm
6251,mp-1096384,orthorhombic,mmm
6252,mp-1096385,orthorhombic,mmm
6253,mp-1096386,orthorhombic,mmm
6254,mp-1096387,orthorhombic,mmm
6255,mp-1096388,orthorhombic,mmm
6256,mp-1096389,orthorhombic,mmm
6257,mp-1096390,orthorhombic,mmm
6258,mp-1096391,orthorhombic,mmm
6259,mp-1096392,orthorhombic,mmm
6260,mp-1096393,orthorhombic,mmm
6261,mp-1096394,orthorhombic,mmm
6262,mp-1096395,orthorhombic,mmm
6263,mp-1096396,orthorhombic,mmm
6264,mp-1096397,orthorhombic,mmm
6265,mp-1096398,orthorhombic,mmm
6266,mp-1096399,orthorhombic,mmm
6267,mp-10964,tetragonal,4/mmm
6268,mp-1096400,orthorhombic,mmm
6269,mp-1096401,orthorhombic,mmm
6270,mp-1096402,orthorhombic,mmm
6271,mp-1096403,orthorhombic,mmm
6272,mp-1096404,orthorhombic,mmm
6273,mp-1096405,orthorhombic,mmm
6274,mp-1096406,orthorhombic,mmm
6275,mp-1096407,orthorhombic,mmm
6276,mp-1096408,orthorhombic,mmm
6277,mp-1096409,orthorhombic,mmm
6278,mp-1096410,orthorhombic,mmm
6279,mp-1096411,orthorhombic,mmm
6280,mp-1096412,orthorhombic,mmm
6281,mp-1096413,orthorhombic,mmm
6282,mp-1096414,orthorhombic,mmm
6283,mp-1096415,orthorhombic,mmm
6284,mp-1096416,orthorhombic,mmm
6285,mp-1096417,orthorhombic,mmm
6286,mp-1096418,orthorhombic,mmm
6287,mp-1096419,orthorhombic,mmm
6288,mp-1096420,orthorhombic,mmm
6289,mp-1096421,orthorhombic,mmm
6290,mp-1096422,orthorhombic,mmm
6291,mp-1096423,orthorhombic,mmm
6292,mp-1096424,,
6293,mp-1096425,,
6294,mp-1096426,orthorhombic,mmm
6295,mp-1096427,orthorhombic,mmm
6296,mp-1096428,orthorhombic,mmm
6297,mp-1096433,orthorhombic,mmm
6298,mp-1096434,orthorhombic,mmm
6299,mp-1096435,orthorhombic,mmm
6300,mp-1096436,orthorhombic,mmm
6301,mp-1096437,orthorhombic,mmm
6302,mp-1096438,orthorhombic,mmm
6303,mp-1096439,orthorhombic,mmm
6304,mp-1096440,orthorhombic,mmm
6305,mp-1096441,orthorhombic,mmm
6306,mp-1096442,orthorhombic,mmm
6307,mp-1096443,orthorhombic,mmm
6308,mp-1096444,orthorhombic,mmm
6309,mp-1096445,orthorhombic,mmm
6310,mp-1096446,orthorhombic,mmm
6311,mp-1096447,orthorhombic,mmm
6312,mp-1096448,orthorhombic,mmm
6313,mp-1096449,orthorhombic,mmm
6314,mp-1096450,orthorhombic,mmm
6315,mp-1096451,orthorhombic,mmm
6316,mp-1096452,orthorhombic,mmm
6317,mp-1096453,orthorhombic,mmm
6318,mp-1096454,orthorhombic,mmm
6319,mp-1096455,orthorhombic,mmm
6320,mp-1096456,orthorhombic,mmm
6321,mp-1096457,orthorhombic,mmm
6322,mp-1096458,orthorhombic,mmm
6323,mp-1096459,orthorhombic,mmm
6324,mp-1096460,,
6325,mp-1096461,,
6326,mp-1096462,orthorhombic,mmm
6327,mp-1096463,orthorhombic,mmm
6328,mp-1096464,orthorhombic,mmm
6329,mp-1096465,orthorhombic,mmm
6330,mp-1096466,orthorhombic,mmm
6331,mp-1096467,orthorhombic,mmm
6332,mp-1096468,orthorhombic,mmm
6333,mp-1096469,orthorhombic,mmm
6334,mp-1096470,orthorhombic,mmm
6335,mp-1096471,orthorhombic,mmm
6336,mp-1096472,orthorhombic,mmm
6337,mp-1096473,orthorhombic,mmm
6338,mp-1096474,orthorhombic,mmm
6339,mp-1096475,orthorhombic,mmm
6340,mp-1096476,orthorhombic,mmm
6341,mp-1096477,orthorhombic,mmm
6342,mp-1096478,orthorhombic,mmm
6343,mp-1096479,orthorhombic,mmm
6344,mp-1096480,orthorhombic,mmm
6345,mp-1096481,orthorhombic,mmm
6346,mp-1096482,orthorhombic,mmm
6347,mp-1096483,orthorhombic,mmm
6348,mp-1096484,orthorhombic,mmm
6349,mp-1096485,orthorhombic,mmm
6350,mp-1096486,orthorhombic,mmm
6351,mp-1096487,orthorhombic,mmm
6352,mp-1096488,orthorhombic,mmm
6353,mp-1096489,orthorhombic,mmm
6354,mp-1096490,orthorhombic,mmm
6355,mp-1096491,orthorhombic,mmm
6356,mp-1096492,orthorhombic,mmm
6357,mp-1096493,orthorhombic,mmm
6358,mp-1096494,orthorhombic,mmm
6359,mp-1096495,orthorhombic,mmm
6360,mp-1096496,orthorhombic,mmm
6361,mp-1096497,orthorhombic,mmm
6362,mp-1096498,orthorhombic,mmm
6363,mp-1096499,orthorhombic,mmm
6364,mp-10965,tetragonal,4/mmm
6365,mp-1096500,orthorhombic,mmm
6366,mp-1096501,orthorhombic,mmm
6367,mp-1096502,orthorhombic,mmm
6368,mp-1096503,orthorhombic,mmm
6369,mp-1096504,orthorhombic,mmm
6370,mp-1096505,orthorhombic,mmm
6371,mp-1096506,orthorhombic,mmm
6372,mp-1096507,orthorhombic,mmm
6373,mp-1096508,orthorhombic,mmm
6374,mp-1096509,orthorhombic,mmm
6375,mp-1096510,orthorhombic,mmm
6376,mp-1096511,orthorhombic,mmm
6377,mp-1096512,orthorhombic,mmm
6378,mp-1096513,orthorhombic,mmm
6379,mp-1096514,orthorhombic,mmm
6380,mp-1096515,orthorhombic,mmm
6381,mp-1096516,orthorhombic,mmm
6382,mp-1096517,orthorhombic,mmm
6383,mp-1096518,orthorhombic,mmm
6384,mp-1096519,orthorhombic,mmm
6385,mp-1096520,orthorhombic,mmm
6386,mp-1096521,orthorhombic,mmm
6387,mp-1096522,orthorhombic,mmm
6388,mp-1096523,monoclinic,2
6389,mp-1096524,orthorhombic,mmm
6390,mp-1096525,orthorhombic,mmm
6391,mp-1096526,orthorhombic,mmm
6392,mp-1096527,orthorhombic,mmm
6393,mp-1096528,,
6394,mp-1096529,,
6395,mp-1096530,orthorhombic,mmm
6396,mp-1096531,orthorhombic,mmm
6397,mp-1096532,orthorhombic,mmm
6398,mp-1096533,orthorhombic,mmm
6399,mp-1096534,orthorhombic,mmm
6400,mp-1096535,orthorhombic,mmm
6401,mp-1096536,orthorhombic,mmm
6402,mp-1096537,orthorhombic,mmm
6403,mp-1096538,orthorhombic,mmm
6404,mp-1096539,orthorhombic,mmm
6405,mp-1096540,orthorhombic,mmm
6406,mp-1096541,orthorhombic,mmm
6407,mp-1096542,orthorhombic,mmm
6408,mp-1096543,orthorhombic,mmm
6409,mp-1096544,orthorhombic,mmm
6410,mp-1096545,orthorhombic,mmm
6411,mp-1096546,orthorhombic,mmm
6412,mp-1096551,orthorhombic,mmm
6413,mp-1096552,orthorhombic,mmm
6414,mp-1096553,orthorhombic,mmm
6415,mp-1096554,orthorhombic,mmm
6416,mp-1096555,orthorhombic,mmm
6417,mp-1096556,orthorhombic,mmm
6418,mp-1096557,orthorhombic,mmm
6419,mp-1096558,orthorhombic,mmm
6420,mp-1096559,orthorhombic,mmm
6421,mp-1096560,orthorhombic,mmm
6422,mp-1096561,orthorhombic,mmm
6423,mp-1096562,orthorhombic,mmm
6424,mp-1096563,orthorhombic,mmm
6425,mp-1096564,orthorhombic,mmm
6426,mp-1096565,orthorhombic,mmm
6427,mp-1096566,orthorhombic,mmm
6428,mp-1096567,orthorhombic,mmm
6429,mp-1096568,orthorhombic,mmm
6430,mp-1096569,orthorhombic,mmm
6431,mp-1096570,orthorhombic,mmm
6432,mp-1096571,orthorhombic,mmm
6433,mp-1096572,orthorhombic,mmm
6434,mp-1096573,orthorhombic,mmm
6435,mp-1096574,orthorhombic,mmm
6436,mp-1096575,orthorhombic,mmm
6437,mp-1096576,orthorhombic,mmm
6438,mp-1096577,orthorhombic,mmm
6439,mp-1096578,orthorhombic,mmm
6440,mp-1096579,orthorhombic,mmm
6441,mp-1096580,orthorhombic,mmm
6442,mp-1096581,orthorhombic,mmm
6443,mp-1096582,orthorhombic,mmm
6444,mp-1096583,orthorhombic,mmm
6445,mp-1096584,orthorhombic,mmm
6446,mp-1096585,orthorhombic,mmm
6447,mp-1096586,orthorhombic,mmm
6448,mp-1096587,orthorhombic,mmm
6449,mp-1096588,orthorhombic,mmm
6450,mp-1096589,orthorhombic,mmm
6451,mp-1096590,orthorhombic,mmm
6452,mp-1096591,orthorhombic,mmm
6453,mp-1096592,orthorhombic,mmm
6454,mp-1096593,orthorhombic,mmm
6455,mp-1096594,orthorhombic,mmm
6456,mp-1096595,orthorhombic,mmm
6457,mp-1096596,orthorhombic,mmm
6458,mp-1096597,orthorhombic,mmm
6459,mp-1096598,orthorhombic,mmm
6460,mp-1096599,orthorhombic,mmm
6461,mp-1096600,orthorhombic,mmm
6462,mp-1096601,orthorhombic,mmm
6463,mp-1096602,orthorhombic,mmm
6464,mp-1096603,orthorhombic,mmm
6465,mp-1096604,orthorhombic,mmm
6466,mp-1096605,orthorhombic,mmm
6467,mp-1096606,orthorhombic,mmm
6468,mp-1096607,orthorhombic,mmm
6469,mp-1096608,orthorhombic,mmm
6470,mp-1096609,orthorhombic,mmm
6471,mp-1096610,orthorhombic,mmm
6472,mp-1096611,orthorhombic,mmm
6473,mp-1096612,orthorhombic,mmm
6474,mp-1096613,orthorhombic,mmm
6475,mp-1096614,orthorhombic,mmm
6476,mp-1096615,orthorhombic,mmm
6477,mp-1096616,orthorhombic,mmm
6478,mp-1096617,orthorhombic,mmm
6479,mp-1096618,orthorhombic,mmm
6480,mp-1096619,orthorhombic,mmm
6481,mp-1096620,orthorhombic,mmm
6482,mp-1096621,orthorhombic,mmm
6483,mp-1096622,orthorhombic,mmm
6484,mp-1096623,orthorhombic,mmm
6485,mp-1096624,orthorhombic,mmm
6486,mp-1096625,orthorhombic,mmm
6487,mp-1096626,orthorhombic,mmm
6488,mp-1096627,orthorhombic,mmm
6489,mp-1096628,orthorhombic,mmm
6490,mp-1096629,orthorhombic,mmm
6491,mp-1096630,orthorhombic,mmm
6492,mp-1096631,orthorhombic,mmm
6493,mp-1096632,orthorhombic,mmm
6494,mp-1096633,orthorhombic,mmm
6495,mp-1096634,orthorhombic,mmm
6496,mp-1096635,orthorhombic,mmm
6497,mp-1096636,orthorhombic,mmm
6498,mp-1096637,orthorhombic,mmm
6499,mp-1096638,orthorhombic,mmm
6500,mp-1096639,orthorhombic,mmm
6501,mp-1096640,orthorhombic,mmm
6502,mp-1096641,orthorhombic,mmm
6503,mp-1096642,orthorhombic,mmm
6504,mp-1096643,orthorhombic,mmm
6505,mp-1096644,orthorhombic,mmm
6506,mp-1096645,orthorhombic,mmm
6507,mp-1096646,orthorhombic,mmm
6508,mp-1096647,orthorhombic,mmm
6509,mp-1096648,orthorhombic,mmm
6510,mp-1096649,orthorhombic,mmm
6511,mp-1096650,orthorhombic,mmm
6512,mp-1096651,orthorhombic,mmm
6513,mp-1096652,orthorhombic,mmm
6514,mp-1096653,orthorhombic,mmm
6515,mp-1096654,orthorhombic,mmm
6516,mp-1096655,orthorhombic,mmm
6517,mp-1096656,orthorhombic,mmm
6518,mp-1096657,orthorhombic,mmm
6519,mp-1096658,orthorhombic,mmm
6520,mp-1096659,orthorhombic,mmm
6521,mp-1096660,orthorhombic,mmm
6522,mp-1096661,orthorhombic,mmm
6523,mp-1096662,orthorhombic,mmm
6524,mp-1096663,orthorhombic,mmm
6525,mp-1096664,orthorhombic,mmm
6526,mp-1096665,orthorhombic,mmm
6527,mp-1096666,orthorhombic,mmm
6528,mp-1096667,orthorhombic,mmm
6529,mp-1096668,orthorhombic,mmm
6530,mp-1096669,orthorhombic,mmm
6531,mp-1096670,orthorhombic,mmm
6532,mp-1096671,orthorhombic,mmm
6533,mp-1096672,orthorhombic,mmm
6534,mp-1096673,orthorhombic,mmm
6535,mp-1096674,orthorhombic,mmm
6536,mp-1096675,orthorhombic,mmm
6537,mp-1096676,orthorhombic,mmm
6538,mp-1096677,orthorhombic,mmm
6539,mp-1096678,orthorhombic,mmm
6540,mp-1096679,orthorhombic,mmm
6541,mp-1096680,orthorhombic,mmm
6542,mp-1096681,orthorhombic,mmm
6543,mp-1096682,orthorhombic,mmm
6544,mp-1096683,orthorhombic,mmm
6545,mp-1096684,orthorhombic,mmm
6546,mp-1096685,orthorhombic,mmm
6547,mp-1096686,orthorhombic,mmm
6548,mp-1096687,orthorhombic,mmm
6549,mp-1096688,orthorhombic,mmm
6550,mp-1096689,orthorhombic,mmm
6551,mp-1096690,orthorhombic,mmm
6552,mp-1096691,orthorhombic,mmm
6553,mp-1096692,orthorhombic,mmm
6554,mp-1096693,orthorhombic,mmm
6555,mp-1096694,orthorhombic,mmm
6556,mp-1096695,orthorhombic,mmm
6557,mp-1096696,orthorhombic,mmm
6558,mp-1096697,orthorhombic,mmm
6559,mp-1096698,orthorhombic,mmm
6560,mp-1096699,orthorhombic,mmm
6561,mp-10967,tetragonal,-42m
6562,mp-1096700,orthorhombic,mmm
6563,mp-1096701,orthorhombic,mmm
6564,mp-1096702,orthorhombic,mmm
6565,mp-1096703,orthorhombic,mmm
6566,mp-1096704,orthorhombic,mmm
6567,mp-1096705,orthorhombic,mmm
6568,mp-1096706,orthorhombic,mmm
6569,mp-1096707,orthorhombic,mmm
6570,mp-1096708,orthorhombic,mmm
6571,mp-1096709,orthorhombic,mmm
6572,mp-1096710,orthorhombic,mmm
6573,mp-1096711,orthorhombic,mmm
6574,mp-1096712,orthorhombic,mmm
6575,mp-1096713,orthorhombic,mmm
6576,mp-1096714,orthorhombic,mmm
6577,mp-1096715,orthorhombic,mmm
6578,mp-1096716,orthorhombic,mmm
6579,mp-1096717,orthorhombic,mmm
6580,mp-1096718,orthorhombic,mmm
6581,mp-1096719,orthorhombic,mmm
6582,mp-1096720,orthorhombic,mmm
6583,mp-1096721,orthorhombic,mmm
6584,mp-1096722,orthorhombic,mmm
6585,mp-1096723,orthorhombic,mmm
6586,mp-1096724,orthorhombic,mmm
6587,mp-1096725,orthorhombic,mmm
6588,mp-1096726,orthorhombic,mmm
6589,mp-1096727,orthorhombic,mmm
6590,mp-1096728,orthorhombic,mmm
6591,mp-1096729,orthorhombic,mmm
6592,mp-1096730,orthorhombic,mmm
6593,mp-1096731,orthorhombic,mmm
6594,mp-1096732,orthorhombic,mmm
6595,mp-1096733,orthorhombic,mmm
6596,mp-1096734,orthorhombic,mmm
6597,mp-1096735,orthorhombic,mmm
6598,mp-1096736,orthorhombic,mmm
6599,mp-1096737,orthorhombic,mmm
6600,mp-1096738,,
6601,mp-1096739,,
6602,mp-1096740,orthorhombic,mmm
6603,mp-1096741,orthorhombic,mmm
6604,mp-1096742,orthorhombic,mmm
6605,mp-1096743,orthorhombic,mmm
6606,mp-1096744,orthorhombic,mmm
6607,mp-1096745,orthorhombic,mmm
6608,mp-1096746,orthorhombic,mmm
6609,mp-1096747,orthorhombic,mmm
6610,mp-1096748,orthorhombic,mmm
6611,mp-1096749,orthorhombic,mmm
6612,mp-1096750,orthorhombic,mmm
6613,mp-1096751,tetragonal,4/mmm
6614,mp-1096752,orthorhombic,mmm
6615,mp-1096753,orthorhombic,mmm
6616,mp-1096754,orthorhombic,mmm
6617,mp-1096755,orthorhombic,mmm
6618,mp-1096756,orthorhombic,mmm
6619,mp-1096757,orthorhombic,mmm
6620,mp-1096758,orthorhombic,mmm
6621,mp-1096759,orthorhombic,mmm
6622,mp-1096760,orthorhombic,mmm
6623,mp-1096761,orthorhombic,mmm
6624,mp-1096762,orthorhombic,mmm
6625,mp-1096764,cubic,m-3m
6626,mp-1096766,tetragonal,4/mmm
6627,mp-1096770,orthorhombic,mmm
6628,mp-1096785,trigonal,-3m
6629,mp-1096787,trigonal,3m
6630,mp-1096789,trigonal,-3m
6631,mp-1096795,trigonal,3m
6632,mp-1096797,cubic,m-3m
6633,mp-1096798,trigonal,3m
6634,mp-1096799,orthorhombic,mmm
6635,mp-1096800,cubic,m-3m
6636,mp-1096801,hexagonal,6/mmm
6637,mp-1096803,monoclinic,2/m
6638,mp-1096804,hexagonal,6mm
6639,mp-1096805,triclinic,1
6640,mp-1096807,trigonal,3m
6641,mp-1096808,tetragonal,4/mmm
6642,mp-1096810,tetragonal,-4
6643,mp-1096814,trigonal,3m
6644,mp-1096816,trigonal,-3m
6645,mp-1096820,trigonal,3m
6646,mp-1096824,trigonal,3m
6647,mp-1096825,cubic,m-3m
6648,mp-1096826,cubic,m-3m
6649,mp-1096827,trigonal,3m
6650,mp-1096829,hexagonal,6/mmm
6651,mp-1096835,orthorhombic,mmm
6652,mp-1096836,cubic,m-3m
6653,mp-1096840,orthorhombic,mmm
6654,mp-1096841,hexagonal,6/mmm
6655,mp-1096843,tetragonal,4/mmm
6656,mp-1096844,cubic,m-3m
6657,mp-1096845,monoclinic,2/m
6658,mp-1096851,orthorhombic,mmm
6659,mp-1096854,cubic,m-3m
6660,mp-1096855,tetragonal,4/mmm
6661,mp-1096856,cubic,m-3m
6662,mp-1096857,tetragonal,4/mmm
6663,mp-1096860,tetragonal,4/mmm
6664,mp-1096861,cubic,m-3m
6665,mp-1096862,cubic,m-3m
6666,mp-1096866,trigonal,-3m
6667,mp-1096867,trigonal,-3m
6668,mp-1096876,monoclinic,m
6669,mp-1096879,monoclinic,m
6670,mp-1096880,hexagonal,6mm
6671,mp-1096897,hexagonal,6mm
6672,mp-10969,trigonal,-3m
6673,mp-1096914,trigonal,32
6674,mp-1096915,monoclinic,2/m
6675,mp-1096920,triclinic,1
6676,mp-1096927,triclinic,1
6677,mp-1096928,triclinic,1
6678,mp-1096930,tetragonal,4/mmm
6679,mp-1096932,cubic,m-3m
6680,mp-1096933,orthorhombic,mmm
6681,mp-1096936,orthorhombic,mmm
6682,mp-1096937,cubic,m-3m
6683,mp-1096940,trigonal,-3m
6684,mp-1096941,trigonal,3m
6685,mp-1096942,trigonal,3m
6686,mp-1096943,trigonal,-3m
6687,mp-1096944,cubic,m-3m
6688,mp-1096947,trigonal,-3m
6689,mp-1096949,monoclinic,m
6690,mp-1096950,hexagonal,6/mmm
6691,mp-1096959,tetragonal,-42m
6692,mp-1096969,trigonal,3m
6693,mp-1096971,trigonal,-3m
6694,mp-1096972,trigonal,3m
6695,mp-1096975,trigonal,3m
6696,mp-1096976,trigonal,3m
6697,mp-1096977,tetragonal,4/mmm
6698,mp-1096980,trigonal,3m
6699,mp-1096982,trigonal,-3m
6700,mp-1096983,trigonal,3m
6701,mp-1096985,trigonal,3m
6702,mp-1096986,trigonal,-3m
6703,mp-1096992,tetragonal,-42m
6704,mp-1096993,hexagonal,6/mmm
6705,mp-1096994,hexagonal,6/mmm
6706,mp-1096995,tetragonal,4/mmm
6707,mp-1097,orthorhombic,mmm
6708,mp-1097000,trigonal,3m
6709,mp-1097001,trigonal,3m
6710,mp-1097003,orthorhombic,mmm
6711,mp-1097006,cubic,m-3m
6712,mp-1097008,orthorhombic,mmm
6713,mp-1097010,orthorhombic,mmm
6714,mp-1097011,tetragonal,4/mmm
6715,mp-1097012,hexagonal,6/mmm
6716,mp-1097013,tetragonal,-42m
6717,mp-1097017,monoclinic,2/m
6718,mp-1097021,trigonal,3m
6719,mp-1097026,cubic,m-3m
6720,mp-1097028,trigonal,-3m
6721,mp-1097030,tetragonal,4/mmm
6722,mp-1097040,trigonal,-3m
6723,mp-1097050,orthorhombic,mmm
6724,mp-1097051,orthorhombic,mmm
6725,mp-1097052,triclinic,1
6726,mp-1097061,monoclinic,m
6727,mp-1097065,trigonal,-3m
6728,mp-1097069,orthorhombic,mmm
6729,mp-1097070,orthorhombic,mmm
6730,mp-1097071,orthorhombic,mmm
6731,mp-1097072,orthorhombic,mmm
6732,mp-1097073,orthorhombic,mmm
6733,mp-1097074,orthorhombic,mmm
6734,mp-1097075,orthorhombic,mmm
6735,mp-1097076,orthorhombic,mmm
6736,mp-1097077,orthorhombic,mmm
6737,mp-1097078,orthorhombic,mmm
6738,mp-1097079,orthorhombic,mmm
6739,mp-1097080,orthorhombic,mmm
6740,mp-1097081,orthorhombic,mmm
6741,mp-1097082,orthorhombic,mmm
6742,mp-1097083,orthorhombic,mmm
6743,mp-1097084,orthorhombic,mmm
6744,mp-1097085,orthorhombic,mmm
6745,mp-1097086,orthorhombic,mmm
6746,mp-1097087,orthorhombic,mmm
6747,mp-1097088,orthorhombic,mmm
6748,mp-1097089,orthorhombic,mmm
6749,mp-1097090,orthorhombic,mmm
6750,mp-1097091,orthorhombic,mmm
6751,mp-1097092,orthorhombic,mmm
6752,mp-1097093,orthorhombic,mmm
6753,mp-1097094,orthorhombic,mmm
6754,mp-1097095,orthorhombic,mmm
6755,mp-1097096,orthorhombic,mmm
6756,mp-1097097,orthorhombic,mmm
6757,mp-1097098,orthorhombic,mmm
6758,mp-1097099,orthorhombic,mmm
6759,mp-10971,tetragonal,4/mmm
6760,mp-1097100,orthorhombic,mmm
6761,mp-1097101,,
6762,mp-1097102,orthorhombic,mmm
6763,mp-1097104,orthorhombic,mmm
6764,mp-1097105,orthorhombic,mmm
6765,mp-1097106,orthorhombic,mmm
6766,mp-1097107,orthorhombic,mmm
6767,mp-1097108,orthorhombic,mmm
6768,mp-1097109,orthorhombic,mmm
6769,mp-1097110,orthorhombic,mmm
6770,mp-1097111,orthorhombic,mmm
6771,mp-1097112,orthorhombic,mmm
6772,mp-1097113,orthorhombic,mmm
6773,mp-1097114,orthorhombic,mmm
6774,mp-1097115,orthorhombic,mmm
6775,mp-1097116,orthorhombic,mmm
6776,mp-1097117,orthorhombic,mmm
6777,mp-1097118,orthorhombic,mmm
6778,mp-1097119,orthorhombic,mmm
6779,mp-1097120,orthorhombic,mmm
